type_decomp,group_old,var_y,var_worker,var_firm,2*cov_worker_firm,var_resid
levels,overall,5.32799139288746,2.00102475512869,1.70438245666736,0.622646297913441,0.999937883177971
levels,1,5.27785796383231,1.97315507425975,1.71110249148962,0.627646554561471,0.965953843521465
levels,2,5.33804114866855,2.00486320840982,1.70101074403359,0.623531540162218,1.00863565606292
levels,3,5.32039939801823,1.98797203714969,1.71096971074559,0.607974434820502,1.01348321530245
levels,4,5.34672352793901,2.02223104070898,1.70508173082542,0.612730038573685,1.00668071783093
levels,5,5.38100200595851,2.02488224106682,1.71635572594266,0.646674902689832,0.993089136259206
levels,6,5.32082277209408,2.00777429529307,1.70740932942095,0.616769640756826,0.988869506623232
levels,7,5.32467734331517,1.988117115591,1.71679412192799,0.623056321483031,0.996709784313152
levels,8,5.32348775432408,1.98072193014283,1.71326368376922,0.621604531101425,1.0078976093106
levels,9,5.3093773966492,1.99172379885751,1.69405457123559,0.612004885266796,1.0115941412893
levels,10,5.29006304537924,1.99060609777891,1.69706196593225,0.603546792671008,0.998848188997071
levels,11,5.34348151619872,2.0028356015581,1.70554549740639,0.636524845274959,0.99857557195927
levels,12,5.35315500345772,2.01798858904025,1.700406968389,0.619904343702395,1.01485510232607
levels,13,5.33204497352145,2.00315813390389,1.6776814609901,0.647080709397654,1.00412466922981
levels,14,5.36142405184957,2.00890666911206,1.71367188401802,0.623962774511593,1.01488272420789
levels,15,5.34473851000457,2.00939647174364,1.70610457007084,0.626857048587384,1.0023804196027
levels,16,5.33192625530119,1.99816278335039,1.69382391148549,0.633953264369976,1.00598629609534
levels,17,5.30719255906933,1.99231475061154,1.70735998952658,0.621574833152847,0.985942985778363
levels,18,5.31863178207709,2.01240201380469,1.70873439822451,0.605876094219582,0.991619275828306
levels,19,5.31549041264502,2.01673845688223,1.69744804900694,0.614495814599976,0.986808092155874
levels,20,5.31968832078683,1.98678941186656,1.70379664364022,0.627555958036302,1.00154630724375
percent,overall,1,0.375568316007405,0.319892118996777,0.116863232689271,0.187676332306547
percent,1,1,0.373855281400378,0.324203967445757,0.118920698295134,0.183020052858731
percent,2,1,0.375580321052768,0.318658229987206,0.116809054631912,0.188952394328114
percent,3,1,0.373650902578888,0.321586704821992,0.114272329826773,0.190490062772347
percent,4,1,0.378218740905888,0.318902169135099,0.114599162528584,0.188279927430429
percent,5,1,0.376302078836733,0.318965821615025,0.120177413421098,0.184554686127144
percent,6,1,0.37734282483964,0.320891975274151,0.11591621581376,0.185848984072448
percent,7,1,0.373377950888793,0.322422188469941,0.117012972112807,0.18718688852846
percent,8,1,0.372072224367186,0.321831055660379,0.116766405745278,0.189330314227157
percent,9,1,0.375133212439279,0.319068403821647,0.115268672679595,0.190529711059479
percent,10,1,0.376291564146416,0.320801841372118,0.114090661584495,0.188815932896971
percent,11,1,0.374818476584324,0.31918244542178,0.11912174550344,0.186877332490455
percent,12,1,0.376971820867655,0.317645756061737,0.115801680187102,0.189580742883506
percent,13,1,0.375682902873368,0.314641281032201,0.121356948902534,0.188318867191897
percent,14,1,0.374696470505636,0.319629984020168,0.116380045390429,0.189293500083766
percent,15,1,0.375957863604056,0.319211981442546,0.11728488632587,0.187545268627528
percent,16,1,0.374754392254345,0.317675794897094,0.118897605483511,0.18867220736505
percent,17,1,0.375398994560113,0.321706810243565,0.117119329331786,0.185774865864535
percent,18,1,0.378368365448075,0.321273302653262,0.113915781171632,0.186442550727031
percent,19,1,0.379407787489299,0.319339875953662,0.115604726355663,0.185647610201376
percent,20,1,0.373478537098334,0.320281291101697,0.117968557590885,0.188271614209084
