Var1,Var2,Var3,Var4
overall,2025565,579027,40987
1,40751,39621,24222
2,40572,39440,24137
3,40714,39587,24243
4,40425,39310,24122
5,40506,39337,24124
6,40730,39561,24282
7,40304,39177,24021
8,40481,39305,24058
9,40576,39416,24186
10,40421,39305,24057
11,40324,39201,24118
12,40703,39536,24164
13,40717,39563,24209
14,40362,39194,24059
15,40790,39604,24274
16,40763,39572,24104
17,40571,39442,24092
18,40623,39499,24097
19,40356,39250,24209
20,40583,39419,24274
21,40502,39387,24083
22,40693,39555,24217
23,40698,39534,24151
24,40673,39529,24141
25,40644,39554,24223
26,40099,38947,23997
27,40722,39579,24191
28,40509,39397,24171
29,40496,39343,24194
30,40183,39124,24059
31,40571,39427,24162
32,40105,39026,23986
33,40288,39213,24184
34,40487,39311,24213
35,40357,39228,24056
36,40377,39279,24156
37,40475,39317,24123
38,40440,39288,24147
39,40450,39306,24131
40,40674,39489,24174
41,40325,39198,24014
42,40830,39698,24188
43,40488,39306,24174
44,40283,39157,23983
45,40726,39587,24183
46,40325,39228,24077
47,40450,39303,24087
48,40534,39426,24142
49,40592,39419,24101
50,40297,39184,23929
