group_old,var_worker,var_firm,cov_worker_firm,N_obs,N_id,N_firmid
overall,2.59892967229646,2.03781572343704,-0.00116000369581294,2025565,579027,40987
1,2.59951713060289,2.01690923982917,-0.00390325024168181,40751,39621,24222
2,2.61021126099964,2.0216392564811,0.000121585516710609,40572,39440,24137
3,2.58248103378527,2.05444690808063,0.01276649066136,40714,39587,24243
4,2.59768037737841,2.02583024901531,-0.00735310787329849,40425,39310,24122
5,2.61268031958721,2.02340528592165,-0.0149018367789535,40506,39337,24124
6,2.62768931129739,2.03160576945876,-0.0174638240003596,40730,39561,24282
7,2.61979942938207,2.04761750780982,0.0244343180534374,40304,39177,24021
8,2.59708252191981,2.03234757286561,-0.00950499175779131,40481,39305,24058
9,2.61683854031899,2.03294231899877,-0.015045589209997,40576,39416,24186
10,2.58408062951706,2.00813199249448,-0.0103090504632765,40421,39305,24057
11,2.63759386357617,2.06319704344138,0.00814852666201846,40324,39201,24118
12,2.59197887740993,2.04939351108043,0.00598835931407489,40703,39536,24164
13,2.59744424986778,2.02534117352426,0.00370508443910867,40717,39563,24209
14,2.61756478403948,2.02580390237389,-0.023416783230666,40362,39194,24059
15,2.58777785819014,2.03844678513366,-0.00505653927514544,40790,39604,24274
16,2.60949434873802,2.04690944765711,-0.0195069344435276,40763,39572,24104
17,2.59959859521883,2.04576103701867,-0.0139110441188012,40571,39442,24092
18,2.60908940921888,2.02679227258065,0.00731394197505078,40623,39499,24097
19,2.61812777909119,2.02865688529621,-0.00413202621468074,40356,39250,24209
20,2.59990138474534,2.05953707764531,-0.00879601826793879,40583,39419,24274
21,2.58209917222767,2.04040295119029,0.000172662660388224,40502,39387,24083
22,2.57812909601417,2.04969573232751,0.00189204240937718,40693,39555,24217
23,2.60234335439534,2.05093962030068,-0.0065120590680921,40698,39534,24151
24,2.61674470086299,2.04310430977196,0.0183285361416016,40673,39529,24141
25,2.59678493788621,2.03448571722524,-0.0117041301737149,40644,39554,24223
26,2.5922187527864,2.03710411275572,0.00665523361539701,40099,38947,23997
27,2.57726671581194,2.04344854223568,-0.00990794123350749,40722,39579,24191
28,2.58279889595085,2.04414792960981,-0.0211510962206274,40509,39397,24171
29,2.61011108119639,2.04379067727573,0.00404390149940219,40496,39343,24194
30,2.59049473986291,2.01758725045899,0.0141005032158068,40183,39124,24059
31,2.60800540626162,2.06233691725671,-0.00556373376124372,40571,39427,24162
32,2.57847407344043,2.03184742818173,0.0167602911240161,40105,39026,23986
33,2.59291759560207,2.02148909212737,-0.0165499329771184,40288,39213,24184
34,2.60231083548409,2.03669431610705,0.0314154926834944,40487,39311,24213
35,2.60314396205075,2.0409475569969,-0.0089604844220854,40357,39228,24056
36,2.58571102504619,2.03947325153554,0.013231513736759,40377,39279,24156
37,2.5882480845085,2.02417472958989,-0.00942051914168596,40475,39317,24123
38,2.61122040220763,2.05630397008613,-0.00486080204689609,40440,39288,24147
39,2.59885147880135,2.04536546595251,-0.00206884377272161,40450,39306,24131
40,2.61842530409859,2.07539323194592,0.011375651293319,40674,39489,24174
41,2.60651756433765,2.04220473199565,-0.00434509142087161,40325,39198,24014
42,2.58484306425629,2.01372179458752,-0.0192563246475233,40830,39698,24188
43,2.58811400720402,2.06459993773774,0.0142938777179406,40488,39306,24174
44,2.56619750914358,2.03167425275512,-0.0155156433072651,40283,39157,23983
45,2.57960948709265,2.03512175478899,0.00748494859832601,40726,39587,24183
46,2.59834513612858,2.02213846043339,-0.00299994092381711,40325,39228,24077
47,2.61355580317913,2.03155184984835,0.0142934829036877,40450,39303,24087
48,2.62348512822334,2.03514868259825,-0.00306779981014499,40534,39426,24142
49,2.57674160352433,2.04536406264192,0.0244366340840866,40592,39419,24101
50,2.5763472655082,2.02468477652893,-0.00321275702614671,40297,39184,23929
