type_decomp,group_old,var_y,var_worker,var_firm,2*cov_worker_firm,var_resid
levels,overall,5.42438591175718,2.6152326926003,2.10596467938611,0.0095985808938807,0.693589958876888
levels,1,5.37195218209278,2.58890566142427,2.10910884668438,0.0126102163717084,0.661327457612426
levels,2,5.43143164650733,2.61467759622352,2.09875770234126,0.0139641595868255,0.704032188355725
levels,3,5.41441923931489,2.59826646893463,2.11645312875457,-0.00125229091587762,0.700951932541573
levels,4,5.43658632928286,2.63037715017107,2.10222823782898,0.0020047089373874,0.701976232345421
levels,5,5.48079784447282,2.63365825410402,2.12332584608963,0.0309505099072333,0.69286323437194
levels,6,5.41161332186776,2.61925374453608,2.10451322951503,0.00227363288362477,0.685572714933025
levels,7,5.42104346012897,2.60429477244395,2.11986699145274,0.00538534577030797,0.691496350461982
levels,8,5.42247208992971,2.60176695839967,2.1154118363073,0.00768224200330988,0.697611053219417
levels,9,5.39830813537241,2.60337682783551,2.09199527476303,-0.0022440964454487,0.705180129219322
levels,10,5.38243719815432,2.60341893656984,2.09875197135557,-0.0138517376860797,0.694118027914989
levels,11,5.45034200256398,2.62281629821877,2.11143823161271,0.0228405629993447,0.693246909733151
levels,12,5.45498382255735,2.63780380234488,2.11030506965804,0.00537426015892897,0.701500690395507
levels,13,5.42608797196726,2.61923518509778,2.07783739567607,0.0303766691622093,0.6986387220312
levels,14,5.46048102323792,2.62047772593957,2.11655602292937,0.0170619657991636,0.706385308569812
levels,15,5.43677557505504,2.62104132951674,2.10270825920994,0.012251576393801,0.700774409934555
levels,16,5.42686252316674,2.61015331327167,2.08991045646186,0.0224694570687342,0.704329296364477
levels,17,5.40562721718076,2.61171871711584,2.10964906044843,0.00357455583565319,0.68068488378084
levels,18,5.42241600197736,2.62478112459268,2.1119150159903,0.00637233138531285,0.679347530009069
levels,19,5.41560948279516,2.63636254437889,2.09868730357838,-0.00215612742155731,0.682715762259445
levels,20,5.41785213783612,2.60256021167426,2.10985646563499,0.0165234138111064,0.688912046715762
percent,overall,1,0.482125117044469,0.388240201498477,0.00176952397009145,0.127865157486962
percent,1,1,0.481930138926831,0.392614970348214,0.0023474178369912,0.123107472887964
percent,2,1,0.481397496349766,0.386409668561486,0.002570990577743,0.129621844511005
percent,3,1,0.479879069959754,0.390891993251408,-0.000231288132766771,0.129460224921605
percent,4,1,0.483828820302766,0.386681662076409,0.000368744064007504,0.129120773556817
percent,5,1,0.480524611350146,0.387411816006117,0.00564708109758978,0.126416491546147
percent,6,1,0.484006078917715,0.388888323009131,0.000420139568072475,0.126685458505082
percent,7,1,0.480404702821178,0.391044087184333,0.000993414978115643,0.127557795016373
percent,8,1,0.479811959425577,0.390119451280518,0.00141674164032617,0.128651847653578
percent,9,1,0.482257915359978,0.387527948072328,-0.000415703659215794,0.130629840226909
percent,10,1,0.483687749754437,0.389925956233219,-0.00257350660604634,0.12895980061839
percent,11,1,0.481220499004454,0.387395548870041,0.00419066601482988,0.127193286110675
percent,12,1,0.483558501390431,0.386858171958557,0.000985201850957912,0.128598124800054
percent,13,1,0.482711522302902,0.382934704783774,0.00559826330113775,0.128755509612186
percent,14,1,0.479898696614405,0.387613474696101,0.00312462688297127,0.129363201806522
percent,15,1,0.482094817660412,0.386756493841233,0.00225346369822833,0.128895224800126
percent,16,1,0.480969123896024,0.385104735478416,0.00414041390818624,0.129785726717374
percent,17,1,0.483148136596431,0.390269061422385,0.000661265694440072,0.125921536286744
percent,18,1,0.484061186680534,0.38947860422737,0.0011751830517963,0.125285026040299
percent,19,1,0.486808096624091,0.38752559804131,-0.000398131997590873,0.12606443733219
percent,20,1,0.480367523044607,0.389426734424994,0.00304980892625575,0.127155933604145
