group_old,var_worker,var_firm,cov_worker_firm,N_obs,N_id,N_firmid
overall,2.6152326926003,2.10596467938611,0.00479929044694035,2057880,587506,42544
1,2.61883576904728,2.08751515245334,0.00459229462312025,41420,40266,24750
2,2.6229272215752,2.09290186363432,0.0011902857951345,41204,40056,24639
3,2.59147873470491,2.12379050771117,0.0158971220633272,41347,40198,24740
4,2.61272516099598,2.1020590404639,-0.00581955059142629,41108,39964,24633
5,2.62672161728554,2.09395558337999,-0.00713203701997083,41183,39990,24637
6,2.64216444587658,2.10397598352708,-0.0152001532980142,41371,40181,24767
7,2.63825666445947,2.12327023078179,0.0306344810560962,40966,39823,24528
8,2.61333536393945,2.11069491774367,-0.00343671354277597,41144,39941,24566
9,2.63179801089304,2.09919988107388,-0.0134590805583552,41214,40034,24680
10,2.59659617060211,2.07420097233687,-0.00250234355581184,41062,39924,24548
11,2.65290683338574,2.12693176293986,0.0180237863754616,40992,39853,24624
12,2.61252871106766,2.12155024853198,0.0135912418641215,41398,40211,24706
13,2.61388290731564,2.09456792095616,0.0140525232390045,41350,40175,24695
14,2.63075696747141,2.09024955127975,-0.0184443319748754,41014,39828,24574
15,2.60870592636182,2.11251690797248,0.00211669513166618,41457,40259,24800
16,2.6259698940119,2.11602103247627,-0.0146422821351769,41421,40203,24606
17,2.61508957919258,2.10933524442029,-0.00549660692485189,41182,40030,24579
18,2.62447494333947,2.08741386754813,0.0160809076350513,41211,40067,24568
19,2.63345848831243,2.10567550114349,0.00401104089143343,41001,39874,24714
20,2.61146143149686,2.12302235152562,-0.00119177125347724,41208,40024,24750
21,2.60535878590451,2.11083945469066,0.00490185281642482,41173,40040,24608
22,2.59595571929335,2.1143129401705,0.0062666117154485,41324,40171,24716
23,2.61777660245707,2.10884063193161,0.00180068785147711,41319,40138,24633
24,2.6307760935439,2.11485829029155,0.0207267552957378,41355,40188,24669
25,2.61948228803437,2.09608659742426,0.000424190576816519,41233,40134,24701
26,2.61429088094535,2.11004407163362,0.0157695939881964,40760,39591,24514
27,2.59297002562105,2.10703197937143,-0.00759296500959575,41333,40172,24658
28,2.59886689292909,2.10838265158178,-0.015221285263928,41132,40000,24652
29,2.62403650264984,2.1175364770958,0.0145615097649483,41190,40020,24721
30,2.60799242826297,2.08411760594695,0.0176296012067203,40807,39726,24548
31,2.6253987710292,2.1211712657034,0.00342604726756868,41218,40056,24655
32,2.59477522199178,2.10517946792345,0.022013533015821,40780,39675,24497
33,2.61194586397373,2.08657100949941,-0.00761576121824725,40921,39830,24675
34,2.61588417864456,2.10854298186168,0.0364510088146543,41131,39932,24712
35,2.62209899831691,2.09984144105471,-0.00486800948073231,41004,39854,24553
36,2.60113962246158,2.10667895343276,0.0164376063577702,41011,39891,24648
37,2.60093529756594,2.08440381865728,-0.0100414319705413,41111,39930,24615
38,2.62808730316049,2.11930631447419,0.00155879007989394,41057,39888,24621
39,2.61517382850277,2.12305013327147,0.00139737367768164,41115,39943,24631
40,2.63564099569334,2.1418466331236,0.0195235787152554,41315,40114,24684
41,2.62469269620794,2.10555681393329,0.000597897580269962,40991,39845,24525
42,2.60262691053514,2.08535926367497,-0.0178839258495687,41518,40371,24708
43,2.60541126786999,2.13291459388161,0.0200008688992851,41152,39948,24684
44,2.58436281965358,2.09970196193301,-0.0118448285885568,40936,39780,24478
45,2.59261235090918,2.11025878379988,0.0194632567358233,41357,40198,24671
46,2.60874764815919,2.08716474385169,0.00117847904374196,40955,39842,24564
47,2.63117742849123,2.10583128710647,0.0204605754185082,41097,39928,24585
48,2.64088987805054,2.10925613263406,0.0032078214435396,41208,40078,24675
49,2.59690355302178,2.10683798257439,0.0335360570111205,41203,40005,24576
50,2.59165350549357,2.0866632817477,0.00132464450065344,40921,39792,24407
