Var1,Var2,Var3,Var4
overall,2057880,587506,42544
1,2519,2518,2430
2,2570,2564,2471
3,2526,2524,2440
4,2556,2554,2466
5,2651,2646,2553
6,2621,2614,2532
7,2613,2610,2522
8,2593,2588,2488
9,2567,2563,2472
10,2597,2594,2511
11,2669,2662,2566
12,2677,2669,2585
13,2523,2518,2448
14,2512,2507,2424
15,2582,2579,2493
16,2608,2603,2520
17,2563,2560,2481
18,2559,2552,2451
19,2637,2633,2538
20,2643,2636,2537
21,2513,2507,2429
22,2542,2537,2444
23,2565,2557,2462
24,2617,2611,2521
25,2536,2532,2444
26,2452,2447,2374
27,2553,2548,2458
28,2597,2595,2492
29,2584,2580,2469
30,2493,2491,2406
31,2552,2550,2464
32,2594,2590,2497
33,2562,2559,2479
34,2592,2586,2485
35,2516,2512,2413
36,2668,2665,2554
37,2693,2690,2581
38,2640,2631,2542
39,2485,2481,2404
40,2646,2641,2543
41,2566,2557,2448
42,2595,2587,2488
43,2523,2517,2435
44,2578,2574,2492
45,2519,2516,2423
46,2526,2523,2441
47,2567,2559,2465
48,2561,2556,2454
49,2521,2516,2436
50,2611,2608,2521
51,2543,2538,2460
52,2532,2531,2445
53,2548,2543,2456
54,2640,2637,2572
55,2548,2543,2447
56,2657,2654,2566
57,2615,2609,2506
58,2572,2565,2477
59,2465,2461,2382
60,2572,2564,2479
61,2502,2497,2397
62,2588,2585,2483
63,2632,2628,2539
64,2639,2635,2540
65,2684,2678,2585
66,2554,2548,2467
67,2689,2686,2581
68,2459,2454,2377
69,2598,2595,2517
70,2549,2546,2447
71,2582,2575,2467
72,2598,2590,2516
73,2621,2615,2527
74,2467,2462,2381
75,2548,2542,2475
76,2543,2536,2442
77,2576,2572,2482
78,2644,2640,2550
79,2566,2559,2466
80,2529,2525,2417
81,2574,2569,2475
82,2571,2570,2477
83,2547,2544,2436
84,2510,2502,2427
85,2583,2572,2462
86,2593,2587,2494
87,2542,2539,2458
88,2576,2570,2496
89,2543,2537,2457
90,2621,2617,2528
91,2569,2567,2469
92,2584,2576,2494
93,2621,2614,2511
94,2546,2542,2462
95,2550,2542,2454
96,2565,2562,2484
97,2597,2594,2513
98,2540,2534,2440
99,2594,2589,2499
100,2549,2544,2459
101,2546,2542,2450
102,2582,2578,2483
103,2538,2535,2443
104,2561,2560,2487
105,2529,2524,2451
106,2563,2558,2466
107,2563,2559,2474
108,2558,2551,2462
109,2617,2611,2521
110,2552,2549,2456
111,2605,2599,2512
112,2555,2551,2471
113,2510,2508,2429
114,2541,2536,2436
115,2617,2611,2518
116,2579,2576,2470
117,2600,2597,2516
118,2591,2589,2494
119,2619,2618,2537
120,2478,2474,2396
121,2510,2504,2423
122,2542,2534,2447
123,2538,2531,2449
124,2603,2599,2495
125,2626,2623,2517
126,2489,2482,2397
127,2676,2672,2582
128,2585,2582,2482
129,2563,2557,2474
130,2612,2607,2509
131,2629,2627,2540
132,2586,2582,2498
133,2575,2572,2463
134,2482,2477,2382
135,2573,2568,2484
136,2584,2579,2494
137,2555,2552,2457
138,2517,2515,2436
139,2523,2517,2421
140,2521,2519,2433
141,2619,2614,2517
142,2631,2627,2540
143,2585,2581,2487
144,2559,2551,2469
145,2562,2555,2455
146,2635,2630,2546
147,2605,2596,2512
148,2467,2466,2383
149,2495,2490,2393
150,2585,2580,2476
151,2575,2570,2486
152,2526,2525,2443
153,2589,2586,2480
154,2658,2655,2549
155,2573,2571,2477
156,2518,2515,2431
157,2666,2662,2563
158,2605,2599,2505
159,2548,2542,2455
160,2491,2484,2407
161,2553,2547,2462
162,2546,2542,2455
163,2546,2539,2427
164,2580,2573,2498
165,2610,2603,2506
166,2503,2501,2404
167,2596,2594,2503
168,2597,2594,2509
169,2521,2515,2430
170,2688,2683,2590
171,2611,2605,2537
172,2542,2536,2443
173,2515,2508,2422
174,2584,2577,2489
175,2545,2538,2451
176,2640,2633,2525
177,2554,2553,2479
178,2512,2509,2440
179,2589,2584,2498
180,2599,2594,2505
181,2641,2636,2543
182,2584,2575,2470
183,2603,2597,2508
184,2580,2579,2498
185,2637,2637,2534
186,2608,2600,2501
187,2558,2553,2456
188,2582,2577,2482
189,2537,2531,2442
190,2646,2639,2546
191,2559,2556,2486
192,2524,2521,2429
193,2519,2516,2458
194,2487,2482,2412
195,2602,2599,2495
196,2484,2481,2412
197,2564,2562,2470
198,2516,2512,2432
199,2536,2528,2449
200,2596,2593,2483
201,2636,2626,2544
202,2561,2554,2456
203,2652,2648,2550
204,2648,2644,2556
205,2572,2569,2461
206,2577,2570,2484
207,2658,2656,2543
208,2579,2573,2506
209,2614,2607,2518
210,2507,2504,2394
